category,bathrooms,bedrooms,fee,pets_allowed,price,square_feet,cityname,state,latitude,longitude,time
1,1.0,2.0,2,5,1995,325,29,5,33.8517,-118.3978,1577359569
1,1.0,1.0,2,6,1350,325,2,2,47.616,-122.3275,1577360015
1,1.0,2.0,2,4,1349,325,3,3,41.8625,-87.6825,1577359541
1,1.0,2.0,2,4,975,325,30,18,36.1554,-115.1733,1577359194
1,1.0,0.0,2,5,925,325,3,3,41.8625,-87.6825,1577015409
1,1.0,2.0,2,4,899,325,3,3,41.8625,-87.6825,1577358591
1,1.0,2.0,2,4,700,325,31,19,41.1873,-73.1811,1575973668
1,1.0,2.0,2,5,325,325,32,20,41.6675,-83.5837,1577358894
1,1.0,1.0,2,5,915,330,33,17,39.6665,-105.0962,1568750828
1,1.0,1.0,2,4,710,330,34,21,39.0744,-94.5521,1577358661
1,1.0,2.0,2,4,2695,332,5,5,37.7599,-122.4379,1577015142
1,1.0,1.0,2,4,2295,332,5,5,37.7599,-122.4379,1577359191
1,1.0,2.0,2,5,1079,333,33,17,39.736,-104.9819,1577358484
1,1.0,1.0,2,4,800,335,35,7,41.5927,-93.6276,1577360440
1,1.0,0.0,2,4,2195,336,5,5,37.7856,-122.4121,1577358517
1,1.0,2.0,2,5,1100,336,36,9,43.0834,-87.8861,1577359383
1,1.0,1.0,2,4,1099,336,15,12,28.0076,-82.4792,1577358537
1,1.0,0.0,2,4,2295,338,5,5,37.7599,-122.4379,1577358520
1,1.0,2.0,2,4,1160,338,37,12,29.6533,-82.3656,1577358920
1,1.0,2.0,2,4,990,338,16,13,45.5091,-122.6449,1577014971
1,1.0,0.0,2,4,1240,341,38,22,33.3898,-111.9272,1577359295
1,1.0,2.0,2,4,480,342,28,11,40.3613,-86.9005,1577358831
1,1.0,0.0,2,4,800,344,39,4,35.0462,-85.2352,1577359042
1,1.0,1.0,2,4,1655,346,2,2,47.616,-122.3275,1577358500
1,1.0,1.0,2,5,899,346,17,14,44.9855,-93.3023,1577015490
1,1.0,1.0,2,4,600,347,40,21,38.6274,-90.304,1577360376
1,1.0,2.0,2,4,699,348,34,21,39.0744,-94.5521,1577015083
1,1.0,2.0,2,4,1550,350,12,10,38.9118,-77.0132,1577358441
1,1.0,0.0,2,4,1400,350,19,5,34.0372,-118.2972,1577359937
1,1.0,0.0,2,4,1299,350,16,13,45.5091,-122.6449,1577360303
1,1.0,0.0,2,4,1299,350,2,2,47.616,-122.3275,1577360078
1,1.0,2.0,2,5,1200,350,41,23,42.7742,-71.0937,1577358621
1,1.0,1.0,2,4,1145,350,42,24,40.0054,-75.1415,1577359955
1,1.0,1.0,2,5,1000,350,11,9,43.0724,-89.4003,1575638624
1,1.0,2.0,2,4,895,350,43,20,40.1119,-82.9128,1577358699
1,1.0,0.0,2,4,875,350,21,16,30.3054,-97.7497,1577016822
1,1.0,0.0,2,4,710,350,44,2,47.6794,-117.4018,1577360024
1,1.0,0.0,2,4,699,350,45,15,39.597,-78.8345,1576748654
1,1.0,2.0,2,4,695,350,7,6,61.1723,-149.8414,1577358612
1,1.0,0.0,2,4,592,350,46,22,32.2264,-110.9438,1577358743
1,1.0,1.0,2,4,1225,351,16,13,45.5091,-122.6449,1577014993
1,1.0,0.0,2,4,1225,352,19,5,34.0786,-118.2615,1568750311
1,1.0,1.0,2,4,675,354,47,21,38.9163,-94.3719,1577015051
1,1.0,0.0,2,4,1400,355,19,5,34.0372,-118.2972,1577359871
1,1.0,2.0,2,4,1125,357,3,3,41.8625,-87.6825,1576666282
1,1.0,2.0,2,4,1225,360,48,25,40.7647,-74.2119,1576323293
1,1.0,2.0,2,4,875,360,49,13,44.9545,-123.0072,1577360111
1,1.0,1.0,2,4,495,360,50,26,36.116,-95.9281,1577359172
1,1.0,2.0,2,4,1750,362,12,10,38.9118,-77.0132,1577358753
1,1.0,1.0,2,4,1050,362,3,3,41.8625,-87.6825,1577359538
1,1.0,1.0,2,4,985,367,3,3,41.8625,-87.6825,1577359323
1,1.0,2.0,2,5,965,368,51,19,41.3708,-72.9259,1577359570
1,1.0,1.0,2,5,530,368,52,27,43.2932,-86.2829,1577358989
1,1.0,2.0,2,4,1530,369,2,2,47.616,-122.3275,1577360025
1,1.0,1.0,2,4,720,369,34,21,39.064,-94.5819,1577015062
1,1.0,1.0,2,5,1025,370,16,13,45.5091,-122.6449,1577360049
1,1.0,1.0,2,4,765,370,53,16,29.4,-95.2394,1577015355
1,1.0,1.0,2,4,1975,375,54,5,34.0231,-118.4811,1577360156
1,1.0,1.0,2,4,829,375,55,22,33.5178,-112.0848,1577359986
1,1.0,2.0,2,5,773,375,17,14,44.9855,-93.3023,1575976447
1,1.0,1.0,2,4,386,375,56,9,42.8224,-89.0658,1577358947
1,1.0,2.0,2,4,1400,377,57,12,25.7603,-80.3005,1577358409
1,1.0,1.0,2,5,3095,378,5,5,37.7599,-122.4379,1577015141
1,1.0,2.0,2,4,1275,378,16,13,45.5091,-122.6449,1577014990
1,1.0,2.0,2,4,1591,379,58,5,33.8666,-118.0485,1568773445
1,1.0,1.0,2,4,2895,380,5,5,37.7599,-122.4379,1577359213
1,1.0,0.0,2,4,2695,380,5,5,37.7599,-122.4379,1577014859
1,1.0,2.0,2,5,955,380,7,6,61.1723,-149.8414,1577358618
1,1.0,1.0,2,4,540,380,46,22,32.2264,-110.9438,1577358743
1,1.0,2.0,2,4,2895,381,5,5,37.7599,-122.4379,1577358516
1,1.0,2.0,2,4,635,382,59,4,35.9695,-83.981,1577359158
1,1.0,1.0,2,4,902,384,3,3,41.8625,-87.6825,1577358590
1,1.0,0.0,2,4,2395,385,5,5,37.7599,-122.4379,1577358522
1,1.0,1.0,2,4,1250,385,16,13,45.5091,-122.6449,1577359521
1,1.0,2.0,2,4,1262,386,16,13,45.5091,-122.6449,1577014971
1,1.0,0.0,2,4,1115,389,16,13,45.5091,-122.6449,1577358681
1,1.0,2.0,2,4,2095,390,60,28,41.824,-71.4315,1577359103
1,1.0,1.0,2,4,1800,390,12,10,38.9118,-77.0132,1577358438
1,1.0,2.0,2,4,879,390,61,12,28.5163,-81.3644,1577358407
1,1.0,2.0,2,4,995,393,62,16,29.5122,-98.5226,1577359123
1,1.0,0.0,2,4,1350,395,19,5,34.0372,-118.2972,1577359936
1,1.0,1.0,2,4,1045,395,3,3,41.8625,-87.6825,1576666281
1,1.0,2.0,2,4,2495,398,5,5,37.7599,-122.4379,1577359195
1,1.0,1.0,2,4,1173,398,3,3,41.8625,-87.6825,1577359324
1,1.0,2.0,2,4,1000,398,21,16,30.3054,-97.7497,1577016864
1,1.0,0.0,2,4,1659,400,12,10,38.9118,-77.0132,1577358560
1,1.0,1.0,2,5,1395,400,63,27,42.2711,-83.745,1577358938
1,1.0,1.0,2,4,1375,400,64,5,32.7685,-117.0046,1577360397
1,1.0,2.0,2,4,1242,400,3,3,41.8625,-87.6825,1577359303
1,1.0,1.0,2,4,1225,400,16,13,45.5091,-122.6449,1577014980
1,1.0,1.0,2,4,1160,400,11,9,43.0724,-89.4003,1575637772
1,1.0,2.0,2,4,1099,400,15,12,28.0076,-82.4792,1577015245
1,1.0,1.0,2,4,1050,400,3,3,41.8625,-87.6825,1577359558
1,1.0,2.0,2,4,1012,400,65,17,39.6828,-104.8078,1577358486
1,1.0,1.0,2,4,1000,400,42,24,40.0054,-75.1415,1577359315
1,1.0,1.0,2,6,995,400,17,14,44.9855,-93.3023,1577360121
1,1.0,0.0,2,5,975,400,21,16,30.3054,-97.7497,1577016822
1,1.0,2.0,2,5,945,400,17,14,44.9855,-93.3023,1576666502
1,1.0,0.0,2,6,925,400,21,16,30.3054,-97.7497,1577359911
1,1.0,1.0,2,5,925,400,66,29,43.0758,-70.9427,1568774407
1,1.0,1.0,2,4,899,400,67,30,37.1451,-76.5397,1577354122
1,1.0,2.0,2,4,895,400,21,16,30.3054,-97.7497,1577360401
1,1.0,0.0,2,4,895,400,21,16,30.3054,-97.7497,1577016822
1,1.0,0.0,2,4,895,400,21,16,30.3054,-97.7497,1577016824
1,1.0,0.0,2,4,850,400,68,16,29.7714,-95.4343,1577359940
1,1.0,2.0,2,4,799,400,3,3,41.8625,-87.6825,1577358588
1,1.0,1.0,2,5,720,400,69,20,39.9974,-82.9829,1575637686
1,1.0,2.0,2,4,695,400,70,16,30.8542,-96.9773,1577359364
1,1.0,0.0,2,4,615,400,71,31,41.2562,-96.0404,1577359911
1,1.0,0.0,2,5,500,400,72,1,36.0646,-79.8238,1568751908
1,1.0,1.0,2,4,499,400,73,32,32.3841,-93.6685,1568744227
1,1.0,2.0,2,4,425,400,74,33,48.2469,-101.3017,1577359854
1,1.0,2.0,2,4,2460,402,75,23,42.3635,-71.0825,1577358444
1,1.0,2.0,2,5,1050,403,76,9,43.0735,-88.0172,1577015777
1,2.0,2.0,2,4,1198,404,77,34,32.5975,-85.4777,1577358943
1,1.0,1.0,2,4,635,404,46,22,32.2264,-110.9438,1577359090
1,1.0,0.0,2,5,1975,405,78,23,42.3895,-71.1039,1577358335
1,1.0,2.0,2,4,1725,405,79,5,33.7606,-118.0806,1568774686
1,1.0,1.0,2,4,1085,405,23,9,43.0531,-87.9659,1577360083
1,1.0,3.0,2,4,780,405,80,24,40.4448,-79.9725,1577015470
1,1.0,0.0,2,4,950,407,55,22,33.5178,-112.0848,1577359297
1,1.0,0.0,2,4,2495,408,5,5,37.7599,-122.4379,1577358519
1,1.0,2.0,2,4,1350,409,81,2,47.4826,-122.3023,1577358506
1,1.0,1.0,2,4,950,409,82,13,45.4913,-122.4185,1577360113
1,1.0,2.0,2,4,1450,410,83,30,38.7128,-77.1561,1577358563
1,1.0,0.0,2,5,950,410,80,24,40.4448,-79.9725,1577358882
1,1.0,1.0,2,4,925,410,21,16,30.3054,-97.7497,1577016823
1,1.0,1.0,2,5,695,410,84,25,39.8296,-75.0152,1568776883
1,1.0,2.0,2,5,595,410,85,7,42.0259,-93.6516,1577360424
1,1.0,2.0,2,5,595,410,85,7,42.0259,-93.6516,1577016819
1,1.0,2.0,2,4,1115,412,16,13,45.5209,-122.6979,1577014972
1,1.0,1.0,2,4,1039,413,3,3,41.8625,-87.6825,1576666252
1,1.0,2.0,2,4,1540,414,12,10,38.9118,-77.0132,1577358552
1,1.0,1.0,2,4,1300,414,16,13,45.5091,-122.6449,1577359974
1,1.0,1.0,2,4,750,414,34,21,39.0744,-94.5521,1577015090
1,1.0,2.0,2,4,715,414,86,30,36.9141,-76.2882,1568754078
1,1.0,2.0,2,4,1450,415,87,5,33.7489,-118.2867,1577358689
1,1.0,2.0,2,4,1300,415,42,24,40.0054,-75.1415,1576667775
1,1.0,1.0,2,4,1130,415,3,3,41.8625,-87.6825,1577359300
1,1.0,1.0,2,4,1015,415,3,3,41.8625,-87.6825,1577015593
1,1.0,0.0,2,4,699,415,88,34,33.5137,-86.7893,1577359095
1,1.0,0.0,2,4,699,415,88,34,33.5137,-86.7893,1577359095
1,1.0,1.0,2,4,650,415,89,35,36.0785,-94.1531,1577359036
1,1.0,2.0,2,4,4000,417,5,5,37.7599,-122.4379,1577359216
1,1.0,3.0,2,4,2013,418,60,28,41.824,-71.4315,1577358646
1,1.0,2.0,2,4,1294,418,90,4,36.137,-86.783,1577359105
1,1.0,2.0,2,4,1175,418,16,13,45.5091,-122.6449,1577359184
1,1.0,0.0,2,4,2895,419,5,5,37.7599,-122.4379,1577358521
1,1.0,1.0,2,4,2100,420,19,5,34.0372,-118.2972,1577360499
1,1.0,1.0,2,4,1640,420,19,5,34.0628,-118.2754,1568758168
1,1.0,1.0,2,4,1255,420,19,5,34.0372,-118.2972,1577358594
1,1.0,1.0,2,4,1250,420,3,3,41.8625,-87.6825,1577359513
1,1.0,1.0,2,5,1050,420,3,3,41.8625,-87.6825,1577360179
1,1.0,1.0,2,4,850,420,91,16,32.8212,-96.7853,1577358578
1,1.0,1.0,2,4,725,420,28,32,30.2091,-92.0348,1577358859
1,1.0,1.0,2,4,560,420,46,22,32.2264,-110.9438,1577358746
1,1.0,1.0,2,5,1295,422,2,2,47.616,-122.3275,1577360184
1,1.0,2.0,2,4,805,422,34,21,39.064,-94.5815,1577358663
1,1.0,2.0,2,4,685,422,42,24,40.0054,-75.1415,1577015419
1,1.0,3.0,2,4,1219,423,86,30,36.8961,-76.255,1577014838
1,1.0,2.0,2,4,885,423,7,6,61.1723,-149.8414,1577358616
1,1.0,0.0,2,4,1570,425,12,10,38.9118,-77.0132,1577359247
1,1.0,2.0,2,4,1405,425,10,2,47.7046,-122.1989,1577358502
1,1.0,0.0,2,4,1350,425,19,5,34.0372,-118.2972,1577360352
1,1.0,1.0,2,6,925,425,21,16,30.3054,-97.7497,1577016823
1,1.0,1.0,2,4,795,425,92,16,33.2572,-95.9291,1568767183
1,1.0,1.0,2,4,2135,426,12,10,38.9118,-77.0132,1577358397
1,1.0,1.0,2,5,2060,426,93,23,42.328,-71.071,1577358334
1,1.0,1.0,2,4,1295,426,16,13,45.5091,-122.6449,1577358679
1,1.0,2.0,2,4,1045,426,94,17,38.8562,-104.772,1577358733
1,1.0,1.0,2,4,814,426,3,3,41.8625,-87.6825,1577015583
1,1.0,2.0,2,4,1745,428,95,5,33.8412,-118.3572,1568771211
1,1.0,1.0,2,4,1395,428,96,25,40.722,-74.0644,1568779211
1,1.0,2.0,2,4,1249,428,3,3,41.8625,-87.6825,1577358588
1,1.0,3.0,2,5,785,428,97,20,39.1679,-84.4933,1577014885
1,1.0,0.0,2,4,2695,429,5,5,37.7599,-122.4379,1577358520
1,1.0,1.0,2,4,1325,430,3,3,41.9643,-87.6502,1577359567
1,1.0,0.0,2,4,895,430,80,24,40.4448,-79.9725,1577359563
1,1.0,1.0,2,4,895,430,98,19,41.3498,-72.1062,1568780790
1,1.0,2.0,2,4,775,430,98,19,41.3498,-72.1062,1568780975
1,1.0,0.0,2,4,650,430,34,21,39.0744,-94.5521,1577358658
1,1.0,1.0,2,4,645,430,99,20,41.0902,-81.5376,1568757242
1,1.0,2.0,2,4,1549,431,100,30,38.8738,-77.1055,1577359252
1,1.0,2.0,2,4,1530,431,101,2,47.7637,-122.118,1577358503
1,1.0,1.0,2,4,3095,432,5,5,37.7599,-122.4379,1577358517
1,1.0,2.0,2,4,899,433,4,4,35.1211,-89.9517,1577359739
1,1.0,2.0,2,4,827,434,102,26,35.4718,-97.518,1568781073
1,1.0,1.0,2,5,1630,435,57,12,25.7603,-80.3005,1577358402
1,1.0,2.0,2,4,1250,435,16,13,45.5091,-122.6449,1577359943
1,1.0,2.0,2,4,1150,435,42,24,40.0054,-75.1415,1577016854
1,1.0,1.0,2,4,1215,438,17,14,44.9855,-93.3023,1577015767
1,1.0,1.0,2,4,1100,438,16,13,45.5091,-122.6449,1577358674
1,1.0,2.0,2,4,1040,438,97,20,39.1679,-84.4933,1577014883
1,1.0,2.0,2,4,2995,439,5,5,37.7599,-122.4379,1577014858
1,1.0,3.0,2,4,949,440,61,12,28.5163,-81.3644,1577358399
1,1.0,0.0,2,4,879,440,55,22,33.5178,-112.0848,1577360260
1,1.0,1.0,2,4,835,440,39,4,35.0462,-85.2352,1577359991
1,1.0,1.0,2,4,740,440,103,16,29.4624,-98.5253,1577016022
1,1.0,1.0,2,4,635,440,94,17,38.8562,-104.772,1577360185
1,1.0,1.0,2,4,2795,441,5,5,37.7599,-122.4379,1577359097
1,1.0,2.0,2,4,1270,441,16,13,45.5091,-122.6449,1577360021
1,1.0,1.0,2,4,1195,442,104,13,45.5223,-122.9416,1577360069
1,1.0,1.0,2,4,750,442,39,4,35.0462,-85.2352,1577359043
1,1.0,2.0,2,4,535,442,105,16,32.275,-95.3017,1568769793
1,1.0,2.0,2,4,535,442,105,16,32.275,-95.3017,1568769748
1,1.0,1.0,2,4,665,443,68,16,29.7714,-95.4343,1577358270
1,1.0,2.0,2,4,830,444,7,6,61.1723,-149.8414,1577358614
1,1.0,0.0,2,4,1295,445,16,13,45.5091,-122.6449,1577358682
1,1.0,1.0,2,5,1175,445,3,3,41.8625,-87.6825,1577015591
1,1.0,2.0,2,4,1530,446,106,3,42.0454,-87.6964,1577359305
1,1.0,1.0,2,4,1325,446,16,13,45.5091,-122.6449,1577014990
1,1.0,2.0,2,4,1099,446,40,21,38.6274,-90.304,1577358456
1,1.0,1.0,2,4,545,446,107,20,41.4729,-81.7374,1568749417
1,1.0,1.0,2,4,2895,447,5,5,37.7599,-122.4379,1577015137
1,1.0,2.0,2,6,1335,447,2,2,47.616,-122.3275,1577358502
1,1.0,1.0,2,5,675,447,91,16,32.8212,-96.7853,1577358756
1,1.0,2.0,2,4,1688,448,21,16,30.3054,-97.7497,1577359470
1,1.0,2.0,2,4,739,448,34,21,39.063,-94.5749,1577358662
1,1.0,2.0,2,4,820,449,94,17,38.8094,-104.8448,1577359134
1,1.0,1.0,2,4,1950,450,108,15,39.3191,-76.6126,1577359234
1,1.0,2.0,2,5,1818,450,12,10,38.9118,-77.0132,1577358451
1,1.0,0.0,2,4,1795,450,109,5,33.7834,-118.1506,1568776254
1,1.0,0.0,2,4,1495,450,19,5,34.0372,-118.2972,1577016987
1,1.0,1.0,2,4,1365,450,3,3,41.8625,-87.6825,1576666282
1,1.0,1.0,2,4,1349,450,15,12,28.0076,-82.4792,1577358535
1,1.0,2.0,2,4,1225,450,11,9,43.0724,-89.4003,1577359331
1,1.0,2.0,2,4,1199,450,63,27,42.2711,-83.745,1577358535
1,1.0,1.0,2,4,1195,450,110,2,47.5968,-122.7026,1577360410
1,1.0,1.0,2,5,1069,450,17,14,44.9855,-93.3023,1577016720
1,1.0,1.0,2,4,995,450,111,27,42.3882,-83.1122,1577360022
1,1.0,2.0,2,4,860,450,7,6,61.1738,-149.9301,1577358999
1,1.0,2.0,2,4,829,450,112,12,27.7873,-82.6772,1577359236
1,1.0,1.0,2,4,790,450,113,4,36.0402,-86.6385,1577358294
1,1.0,1.0,2,4,770,450,34,21,39.0744,-94.5521,1577359200
1,1.0,1.0,2,4,766,450,34,21,39.0744,-94.5521,1577359200
1,1.0,2.0,2,4,752,450,26,11,39.7953,-86.1387,1577359219
1,1.0,1.0,2,4,750,450,67,30,37.0867,-76.4941,1577358450
1,1.0,1.0,2,4,719,450,91,16,32.878,-96.7511,1568755854
1,1.0,2.0,2,4,687,450,114,16,29.6803,-95.1845,1577360311
1,1.0,1.0,2,5,655,450,97,20,39.1679,-84.4933,1577014873
1,1.0,3.0,2,4,635,450,67,30,37.0867,-76.4941,1577358647
1,1.0,0.0,2,4,595,450,115,21,39.1478,-94.5689,1577359195
1,1.0,0.0,2,4,575,450,116,36,39.1984,-96.6052,1577358466
1,1.0,1.0,2,4,500,450,117,3,37.7262,-89.2229,1577360567
1,1.0,0.0,2,4,490,450,118,8,37.7059,-85.8628,1577358944
1,1.0,0.0,2,4,1818,451,12,10,38.9057,-76.9861,1576748622
1,1.0,1.0,2,4,3595,454,5,5,37.7599,-122.4379,1577359099
1,1.0,1.0,2,5,950,454,119,37,42.6742,-73.7936,1577360248
1,1.0,1.0,2,4,570,455,46,22,32.2276,-110.8226,1577359176
1,1.0,0.0,2,4,550,455,46,22,32.2264,-110.9438,1577358742
1,1.0,2.0,2,4,1795,456,95,5,33.8363,-118.333,1577358445
1,1.0,2.0,2,4,1612,456,12,10,38.9118,-77.0132,1577358459
1,1.0,1.0,2,4,835,456,11,9,43.0724,-89.4003,1577015699
1,1.0,2.0,2,4,825,456,120,38,37.0835,-113.5823,1577358942
1,1.0,1.0,2,4,825,456,121,22,33.4146,-111.766,1577358410
1,1.0,2.0,2,4,1135,459,108,15,39.3191,-76.6126,1577358488
1,1.0,3.0,2,4,700,459,85,7,42.0259,-93.6516,1577359312
1,1.0,2.0,2,4,1695,460,122,19,41.3245,-72.9194,1577359971
1,1.0,3.0,2,4,1150,460,23,9,43.0531,-87.9659,1577360083
1,1.0,1.0,2,4,840,460,21,16,30.3054,-97.7497,1577359479
1,1.0,1.0,2,4,820,460,94,17,38.8562,-104.772,1577358634
1,1.0,0.0,2,4,815,460,7,6,61.1723,-149.8414,1577359001
1,1.0,1.0,2,4,805,460,94,17,38.8862,-104.7389,1568772495
1,1.0,2.0,2,4,705,460,123,24,41.2399,-75.8848,1577360063
1,1.0,1.0,2,4,525,460,74,33,48.2469,-101.3017,1577359855
1,1.0,2.0,2,4,1125,461,124,2,47.4342,-120.3202,1577358470
1,1.0,2.0,2,4,1245,462,125,38,40.7061,-111.9048,1577358637
1,1.0,1.0,2,4,600,462,46,22,32.2264,-110.9438,1577358746
1,1.0,1.0,2,4,560,463,46,22,32.2264,-110.9438,1577358745
1,1.0,2.0,2,4,1905,464,3,3,41.8625,-87.6825,1577360152
1,1.0,2.0,2,4,1510,465,126,30,38.7999,-77.1072,1577359233
1,1.0,2.0,2,4,931,465,127,39,33.8694,-84.5196,1577358532
1,1.0,1.0,2,4,840,465,97,20,39.1679,-84.4933,1577360191
1,1.0,2.0,2,4,695,465,128,22,33.5944,-112.1837,1577017138
1,1.0,1.0,2,4,3095,466,5,5,37.7599,-122.4379,1577015130
1,1.0,2.0,2,5,1330,467,17,14,44.9855,-93.3023,1577015498
1,1.0,1.0,2,4,1040,468,129,37,43.1689,-77.6289,1577359090
1,1.0,2.0,2,4,885,468,71,31,41.2562,-96.0404,1577360100
1,1.0,1.0,2,4,740,468,130,16,27.7332,-97.4058,1577359020
1,1.0,1.0,2,4,1395,469,16,13,45.5091,-122.6449,1577358675
1,1.0,1.0,2,4,1210,469,3,3,41.8625,-87.6825,1577358327
1,1.0,0.0,2,5,1100,469,131,11,40.4969,-86.9659,1577358858
1,1.0,2.0,2,5,1755,470,3,3,41.889,-87.6336,1577358593
1,1.0,1.0,2,4,1625,470,19,5,34.0628,-118.2754,1568758072
1,1.0,1.0,2,4,1570,470,12,10,38.9118,-77.0132,1577358749
1,1.0,1.0,2,4,1475,470,132,29,42.9833,-71.4574,1577359003
1,1.0,1.0,2,4,1039,470,63,27,42.2711,-83.745,1577358424
1,1.0,2.0,2,4,1009,470,3,3,41.8625,-87.6825,1577015597
1,1.0,1.0,2,4,800,470,7,6,61.1723,-149.8414,1577359001
1,1.0,3.0,2,4,550,470,13,11,39.1676,-86.5,1577359046
1,1.0,1.0,2,4,3195,471,5,5,37.7599,-122.4379,1577014868
1,1.0,2.0,2,4,1500,471,3,3,41.8625,-87.6825,1577017001
1,1.0,1.0,2,4,1206,472,133,15,39.1063,-77.1812,1577358554
1,1.0,1.0,2,4,715,472,91,16,32.878,-96.7511,1568755739
1,1.0,2.0,2,4,1210,473,33,17,39.8999,-104.9442,1568753719
1,1.0,1.0,2,4,3395,474,5,5,37.7599,-122.4379,1577015069
1,1.0,3.0,2,4,960,474,134,22,33.6047,-112.2456,1577358412
1,1.0,3.0,2,4,855,474,135,12,28.5964,-81.3237,1577359120
1,1.0,1.0,2,4,1350,475,16,13,45.5091,-122.6449,1577014990
1,1.0,1.0,2,4,1295,475,31,19,41.1908,-73.1965,1577359169
1,1.0,2.0,2,4,1150,475,136,13,45.4102,-122.7084,1577359995
1,1.0,1.0,2,4,1050,475,137,39,33.7848,-84.3922,1577360238
1,1.0,2.0,2,4,900,475,8,7,42.5286,-92.4509,1577358970
1,1.0,1.0,2,5,740,475,97,20,39.1679,-84.4933,1577014878
1,1.0,1.0,2,5,645,475,68,16,29.7714,-95.4343,1577358384
1,1.0,1.0,2,4,845,476,91,16,32.8212,-96.7853,1577359299
1,1.0,3.0,2,4,1610,477,138,3,41.8871,-87.7901,1577359305
1,1.0,1.0,2,4,835,477,91,16,32.9012,-96.7916,1568755222
1,1.0,1.0,2,4,785,477,91,16,32.9012,-96.7916,1568755286
1,1.0,1.0,2,4,3095,478,5,5,37.7599,-122.4379,1577015147
1,1.0,0.0,2,4,1875,478,139,5,37.5444,-121.982,1577358543
1,1.0,2.0,2,4,535,478,72,1,36.0723,-79.8196,1577360038
1,1.0,0.0,2,5,1708,479,140,15,39.0004,-77.1051,1577305127
